experiment_type,trial_number,start_time,wall-time-seconds
wasm_aot,45,2025-02-08T23:22:02.034680,1.27
wasm_aot,46,2025-02-08T23:22:03.314750,1.18
wasm_aot,47,2025-02-08T23:22:04.504449,1.19
docker,47,2025-02-08T23:22:05.703632,2.35
wasm_aot,48,2025-02-08T23:22:08.139289,1.26
docker,48,2025-02-08T23:22:09.403938,2.29
wasm_aot,49,2025-02-08T23:22:11.814027,1.23
wasm_interpreted,46,2025-02-08T23:22:13.051792,10.95
docker,49,2025-02-08T23:22:24.006605,2.38
wasm_interpreted,47,2025-02-08T23:22:26.467824,11.99
wasm_interpreted,48,2025-02-08T23:22:38.462543,11.15
wasm_aot,50,2025-02-08T23:22:49.619113,1.38
wasm_interpreted,49,2025-02-08T23:22:51.009149,10.92
wasm_interpreted,50,2025-02-08T23:23:01.941146,11.03
docker,50,2025-02-08T23:23:12.977497,2.34
