experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,avg_memory_over_time,max_memory_over_time
wasm_interpreted,32,2025-02-08T23:04:15.430969,,,,,6083469,,,,172170679,172388352
docker_container,31,2025-02-08T23:04:26.248943,,,,,20,,,,2121728,2121728
docker_container_and_daemon,31,2025-02-08T23:04:26.248943,,,,,,,,,57053184,57053184
docker_container,32,2025-02-08T23:04:28.809228,,,,,199,,,,2936832,2936832
docker_container_and_daemon,32,2025-02-08T23:04:28.809228,,,,,,,,,57860096,57860096
docker_container,33,2025-02-08T23:04:31.342145,,,,,242,,,,2170880,2170880
docker_container_and_daemon,33,2025-02-08T23:04:31.342145,,,,,,,,,57151488,57151488
wasm_interpreted,33,2025-02-08T23:04:33.926441,,,,,6134074,,,,172134400,172134400
docker_container,34,2025-02-08T23:04:44.643896,,,,,69,,,,2297856,2297856
docker_container_and_daemon,34,2025-02-08T23:04:44.643896,,,,,,,,,57016320,57016320
wasm_aot,31,2025-02-08T23:04:47.101970,,,,,6277245,,,,172363776,172363776
wasm_aot,32,2025-02-08T23:04:50.982699,,,,,6409342,,,,150032384,150032384
docker_container,35,2025-02-08T23:04:55.486658,,,,,132,,,,2154496,2154496
docker_container_and_daemon,35,2025-02-08T23:04:55.486658,,,,,,,,,55947264,55967744
wasm_aot,33,2025-02-08T23:04:58.656631,,,,,6635531,,,,150016000,150016000
wasm_aot,34,2025-02-08T23:05:05.582900,,,,,6660334,,,,86654976,86654976
wasm_aot,35,2025-02-08T23:05:07.062911,,,,,6726899,,,,148951040,148951040
wasm_aot,36,2025-02-08T23:05:08.331433,,,,,6823683,,,,155754496,155754496
docker_container,36,2025-02-08T23:05:11.065873,,,,,445,,,,3186688,3186688
docker_container_and_daemon,36,2025-02-08T23:05:11.065873,,,,,,,,,57028608,57044992
wasm_aot,37,2025-02-08T23:05:13.637944,,,,,6987469,,,,109924352,109924352
docker_container,37,2025-02-08T23:05:18.942060,,,,,326,,,,2854912,2854912
docker_container_and_daemon,37,2025-02-08T23:05:18.942060,,,,,,,,,56637440,56782848
wasm_interpreted,34,2025-02-08T23:05:21.675590,,,,,7056157,,,,172130304,172130304
docker_container,38,2025-02-08T23:05:32.521149,,,,,16,,,,2351104,2351104
docker_container_and_daemon,38,2025-02-08T23:05:32.521149,,,,,,,,,56029184,56029184
wasm_interpreted,35,2025-02-08T23:05:35.022133,,,,,7106768,,,,172130304,172130304
docker_container,39,2025-02-08T23:05:45.765736,,,,,267,,,,2326528,2326528
docker_container_and_daemon,39,2025-02-08T23:05:45.765736,,,,,,,,,56946688,56946688
wasm_aot,38,2025-02-08T23:05:48.238322,,,,,7129694,,,,91389952,91389952
wasm_aot,39,2025-02-08T23:05:49.529676,,,,,7245583,,,,155213824,155213824
wasm_aot,40,2025-02-08T23:05:52.265885,,,,,7339906,,,,165744640,165744640
wasm_aot,41,2025-02-08T23:05:55.001461,,,,,7406154,,,,97095680,97095680
docker_container,40,2025-02-08T23:05:57.514602,,,,,240,,,,2326528,2326528
docker_container_and_daemon,40,2025-02-08T23:05:57.514602,,,,,,,,,58888192,58888192
wasm_interpreted,36,2025-02-08T23:06:00.021728,,,,,7478173,,,,172134400,172134400
docker_container,41,2025-02-08T23:06:11.098044,,,,,196,,,,3280896,3280896
docker_container_and_daemon,41,2025-02-08T23:06:11.098044,,,,,,,,,59596800,59596800
wasm_aot,42,2025-02-08T23:06:13.529284,,,,,7596253,,,,105000960,105000960
wasm_interpreted,37,2025-02-08T23:06:17.612489,,,,,7666272,,,,172162253,172204032
wasm_interpreted,38,2025-02-08T23:06:28.827977,,,,,7716866,,,,172138496,172138496
wasm_interpreted,39,2025-02-08T23:06:39.526635,,,,,7767563,,,,172177408,172351488
wasm_interpreted,40,2025-02-08T23:06:50.296447,,,,,7818212,,,,165817783,172138496
docker_container,42,2025-02-08T23:07:01.166695,,,,,254,,,,3375104,3375104
docker_container_and_daemon,42,2025-02-08T23:07:01.166695,,,,,,,,,59740160,59740160
docker_container,43,2025-02-08T23:07:03.601892,,,,,9,,,,2326528,2326528
docker_container_and_daemon,43,2025-02-08T23:07:03.601892,,,,,,,,,58937344,58937344
docker_container,44,2025-02-08T23:07:06.149433,,,,,200,,,,2162688,2162688
docker_container_and_daemon,44,2025-02-08T23:07:06.149433,,,,,,,,,58859520,58859520
docker_container,45,2025-02-08T23:07:08.655357,,,,,264,,,,2854912,2854912
docker_container_and_daemon,45,2025-02-08T23:07:08.655357,,,,,,,,,60264448,60264448
docker_container,46,2025-02-08T23:07:11.147995,,,,,50,,,,2322432,2322432
docker_container_and_daemon,46,2025-02-08T23:07:11.147995,,,,,,,,,57602048,57602048
wasm_interpreted,41,2025-02-08T23:07:13.582966,,,,,7919442,,,,172134400,172175360
wasm_aot,43,2025-02-08T23:07:35.203633,,,,,8059417,,,,159318016,159318016
wasm_interpreted,42,2025-02-08T23:07:39.042326,,,,,8107711,,,,172138496,172138496
wasm_interpreted,43,2025-02-08T23:07:49.724716,,,,,8158274,,,,172201301,172318720
wasm_interpreted,44,2025-02-08T23:08:00.411292,,,,,8208737,,,,172167168,172195840
docker_container,47,2025-02-08T23:08:11.160835,,,,,256,,,,2670592,2670592
docker_container_and_daemon,47,2025-02-08T23:08:11.160835,,,,,,,,,57720832,57720832
wasm_aot,44,2025-02-08T23:08:13.592473,,,,,8250777,,,,148602880,148602880
wasm_aot,45,2025-02-08T23:08:15.045780,,,,,8289138,,,,132194304,132194304
wasm_interpreted,45,2025-02-08T23:08:16.311020,,,,,8351076,,,,171993088,172134400
wasm_interpreted,46,2025-02-08T23:08:28.717091,,,,,8401765,,,,172105728,172281856
docker_container,48,2025-02-08T23:08:39.559949,,,,,24,,,,2330624,2330624
docker_container_and_daemon,48,2025-02-08T23:08:39.559949,,,,,,,,,57475072,57475072
docker_container,49,2025-02-08T23:08:42.060362,,,,,198,,,,2396160,2396160
docker_container_and_daemon,49,2025-02-08T23:08:42.060362,,,,,,,,,57817088,57831424
wasm_aot,46,2025-02-08T23:08:44.571499,,,,,8423065,,,,86654976,86654976
wasm_interpreted,47,2025-02-08T23:08:46.006989,,,,,8498292,,,,172150784,172150784
wasm_aot,47,2025-02-08T23:08:56.737841,,,,,8861227,,,,148742144,148742144
wasm_interpreted,48,2025-02-08T23:09:07.324247,,,,,8915663,,,,159926565,172138496
docker_container,50,2025-02-08T23:09:18.262851,,,,,148,,,,2174976,2174976
docker_container_and_daemon,50,2025-02-08T23:09:18.262851,,,,,,,,,57417728,57417728
wasm_interpreted,49,2025-02-08T23:09:20.697160,,,,,8966278,,,,171910875,172138496
wasm_aot,48,2025-02-08T23:09:31.494212,,,,,9047342,,,,134025216,134025216
wasm_aot,49,2025-02-08T23:09:34.045035,,,,,9082054,,,,95371264,95371264
wasm_aot,50,2025-02-08T23:09:35.283959,,,,,9126220,,,,90460160,90460160
wasm_interpreted,50,2025-02-08T23:09:36.569561,,,,,9200140,,,,172152539,172212224
