experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,major-faults,minor-faults,avg_memory_over_time,max_memory_over_time,cpu_total_utilization,cpu_user_utilization,cpu_system_utilization
docker_container,13,2025-02-17T18:22:42.899492,161275034258.0,124378597288.0,29869841716.0,111118483.0,27965.0,65281915369.0,26987738493.0,220789449.0,541.0,27425.0,166560302.55,192573440.0,47.1,44.66,2.44
docker_container_and_daemon,13,2025-02-17T18:22:42.899492,168945644022.75,127391735801.56,32076308423.5,136994467.67,28807.38,66862119455.25,28198423995.62,358182895.57,553.86,28254.54,216512702.51,229490688.0,47.14,44.67,2.47
docker_container,14,2025-02-17T18:24:13.463036,170734660728.0,133052128884.0,30273525804.0,116286368.0,27162.0,67109519586.0,29147642860.0,221236166.0,0.0,27159.0,86506030.55,94670848.0,51.63,48.99,2.64
docker_container_and_daemon,14,2025-02-17T18:24:13.463036,180682223826.11,136319925924.7,32044369402.73,119788991.72,28067.84,68753441811.02,30556339078.09,325625502.39,0.0,28064.86,127199208.46,132853760.0,51.7,49.01,2.68
wasm_interpreted,11,2025-02-17T18:25:44.316935,166142684886.0,135908679839.0,43539194215.0,118383015.0,74786.0,70360053287.0,25865962048.0,445351565.0,81.0,74705.0,200710007.47,237617152.0,43.73,42.23,1.54
native,8,2025-02-17T18:27:20.587338,144973745192.0,113682403917.0,25598732967.0,106424842.0,29436.0,55751432765.0,23972194457.0,228796943.0,29.0,29407.0,118245562.18,122552320.0,55.24,53.24,1.98
native,9,2025-02-17T18:28:28.000621,135802601153.0,106340742507.0,24392202872.0,103278167.0,28251.0,52681834389.0,21906569780.0,210835949.0,0.0,28251.0,92263960.38,97398784.0,53.66,51.7,1.96
wasm_aot,10,2025-02-17T18:29:33.419737,156354410944.0,121914483989.0,27508856539.0,109840281.0,66387.0,60070051203.0,25476810393.0,212645103.0,24.0,66363.0,150461972.48,183566336.0,53.83,51.64,2.22
wasm_interpreted,12,2025-02-17T18:30:48.718246,151092207598.0,134359198945.0,40966422281.0,114337005.0,73538.0,64957648785.0,23213808466.0,454367515.0,0.0,73538.0,184433466.39,221417472.0,44.08,42.8,1.36
native,10,2025-02-17T18:32:16.117237,146384621946.0,112989051207.0,25791579561.0,107824553.0,27543.0,56977209070.0,23550326590.0,214579008.0,2.0,27541.0,118755234.91,125870080.0,52.77,50.72,2.04
wasm_interpreted,13,2025-02-17T18:33:26.537835,155101940707.0,130853586854.0,41957809513.0,116306318.0,74642.0,68760431543.0,24473518174.0,447534893.0,0.0,74642.0,174392072.83,186327040.0,44.54,43.22,1.32
wasm_aot,11,2025-02-17T18:34:57.587536,140228684089.0,106941413589.0,24817470813.0,106826792.0,65942.0,53461174389.0,22289748846.0,204594207.0,0.0,65942.0,179204583.62,219099136.0,51.67,49.47,2.3
docker_container,15,2025-02-17T18:36:04.684625,176386263978.0,132657246725.0,31095445152.0,119831047.0,28934.0,67914517265.0,28991772807.0,231460710.0,422.0,28513.0,150861619.2,177758208.0,51.06,48.37,2.68
docker_container_and_daemon,15,2025-02-17T18:36:04.684625,184174179962.41,135305661448.81,33090251516.28,142533507.6,30298.87,69269763715.19,30070940512.94,261728725.24,432.79,29862.88,205489525.46,215621632.0,51.18,48.42,2.76
native,11,2025-02-17T18:37:34.583802,155127117636.0,116051871122.0,26492938398.0,106888012.0,29139.0,58791367999.0,24782233431.0,206243258.0,2.0,29137.0,116114976.68,122720256.0,52.98,50.82,2.15
native,12,2025-02-17T18:38:47.681879,151735403794.0,116859529045.0,27514647354.0,107243416.0,30915.0,58740889395.0,24725664723.0,205817631.0,0.0,30915.0,115719756.26,122392576.0,54.02,51.89,2.12
native,13,2025-02-17T18:39:59.584651,156536863041.0,120041210655.0,26820461386.0,105100680.0,30214.0,57264522676.0,24523435150.0,222831249.0,0.0,30214.0,116764497.7,120926208.0,53.72,51.66,2.04
wasm_aot,12,2025-02-17T18:41:13.362030,169222643268.0,130573823180.0,29162576405.0,114598150.0,68610.0,63641370121.0,27044346432.0,216659419.0,0.0,68610.0,158086511.09,183001088.0,54.83,52.48,2.35
native,14,2025-02-17T18:42:31.954135,150604065720.0,115356539570.0,27495051488.0,106825107.0,28291.0,59695156399.0,26048104863.0,214297793.0,3.0,28288.0,138524463.02,145522688.0,54.53,52.44,2.08
wasm_aot,13,2025-02-17T18:43:44.897391,151339757077.0,118436065872.0,27883097241.0,114239696.0,68897.0,60660502068.0,25307079412.0,224383166.0,19.0,68878.0,161416087.51,184086528.0,54.14,52.13,2.17
native,15,2025-02-17T18:44:57.156068,154045976257.0,118985981996.0,26741430937.0,105411161.0,27372.0,59981718663.0,25394995303.0,221707048.0,27.0,27345.0,107447693.06,112893952.0,53.86,51.64,2.22
native,16,2025-02-17T18:46:10.008565,151682748847.0,116924076543.0,26891377201.0,107541982.0,27366.0,58672249931.0,24575049892.0,219401786.0,0.0,27366.0,88869455.64,93757440.0,55.32,53.27,2.12
wasm_interpreted,14,2025-02-17T18:47:21.094281,156246836735.0,132833969763.0,43222961451.0,116537854.0,74518.0,71948520900.0,24439314699.0,438626916.0,61.0,74457.0,172536641.08,206270464.0,44.45,43.14,1.44
docker_container,16,2025-02-17T18:48:52.445223,179701280481.0,135865162792.0,31060557490.0,121141422.0,27825.0,67965476184.0,28651944286.0,226404322.0,545.0,27279.0,168991293.44,192679936.0,47.05,44.57,2.48
docker_container_and_daemon,16,2025-02-17T18:48:52.445223,188607771220.61,141276730288.9,33045979333.83,132988573.14,28913.41,70696049525.9,30085772522.99,392193356.69,556.35,28356.06,218875089.2,230416384.0,47.1,44.59,2.52
wasm_aot,14,2025-02-17T18:50:29.685263,158897286923.0,120229658155.0,27436975286.0,114413969.0,68663.0,58949275919.0,25285121515.0,211205231.0,81.0,68582.0,191664469.33,220143616.0,52.46,50.2,2.25
docker_container,17,2025-02-17T18:51:44.090599,166930864190.0,130525636488.0,29764744689.0,112464776.0,27601.0,64718273030.0,27040839127.0,221621621.0,471.0,27131.0,166628480.0,184168448.0,46.86,44.57,2.29
