experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,major-faults,minor-faults,avg_memory_over_time,max_memory_over_time,cpu_total_utilization,cpu_user_utilization,cpu_system_utilization
docker_container_and_daemon,13,2025-03-09T17:20:26.702805,11375248973.94,15674747829.93,2399340100.83,86119833.0,33848.06,6296866452.35,1078340011.22,80804465.96,448.81,33400.34,189566555.9,210231296.0,5.19,4.6,0.58
docker_container,14,2025-03-09T17:21:12.098598,51396483149.0,44148604729.0,9573203218.0,67997871.0,57728.0,19591251303.0,7421393999.0,121226450.0,9.0,57717.0,97566264.89,233205760.0,38.49,36.38,2.11
docker_container_and_daemon,14,2025-03-09T17:21:12.098598,58311849711.23,49422291332.5,10527042077.96,107868919.92,61533.85,20913452900.49,8063832642.69,139799978.03,9.56,61522.28,194096583.11,270692352.0,38.58,36.4,2.18
wasm_aot,8,2025-03-09T17:21:53.603295,66518367860.0,55950023878.0,11718065656.0,69695289.0,73192.0,26690522188.0,10010558249.0,162153762.0,537.0,72655.0,256595166.61,328560640.0,45.41,42.91,2.48
native,6,2025-03-09T17:22:34.625229,61242579863.0,52517427685.0,11715845931.0,65400958.0,60155.0,27311911719.0,10740158208.0,147773527.0,19.0,60136.0,169725952.0,242450432.0,48.82,46.4,2.37
native,7,2025-03-09T17:23:12.175961,68078615978.0,53795509844.0,12426358877.0,74839240.0,60030.0,28168467357.0,11056890796.0,159138621.0,0.0,60030.0,178964569.04,240701440.0,48.94,46.88,2.2
docker_container,15,2025-03-09T17:23:50.737250,58960662445.0,48495525585.0,10136549772.0,63189178.0,59444.0,23149201827.0,9682241762.0,147399725.0,515.0,58930.0,148383185.45,297443328.0,38.05,35.68,2.37
docker_container_and_daemon,15,2025-03-09T17:23:50.737250,63386687628.27,58799640738.27,10696813076.9,81217895.61,62712.41,24474486999.99,10284482255.81,162823243.46,540.7,62171.67,248355964.88,332546048.0,38.14,35.7,2.43
wasm_aot,9,2025-03-09T17:24:37.298636,66250730463.0,55612245256.0,12237697049.0,71928601.0,73683.0,28155209466.0,10914903222.0,151874454.0,642.0,73041.0,231177936.59,313139200.0,48.4,45.72,2.6
docker_container,16,2025-03-09T17:25:17.867227,40361752741.0,35604131786.0,7529686295.0,55837526.0,55442.0,17570622390.0,6097883297.0,115204776.0,504.0,54939.0,121327616.0,277843968.0,26.95,25.28,1.67
docker_container_and_daemon,16,2025-03-09T17:25:17.867227,44625843159.05,40239253702.04,8015603203.63,71402227.69,59363.52,20010653461.03,6551116834.78,137342874.48,539.84,58822.73,241125825.56,312971264.0,27.13,25.33,1.79
native,8,2025-03-09T17:26:03.305386,67708495908.0,56711598126.0,11556070519.0,66759449.0,60502.0,27181553868.0,10723000647.0,148358660.0,570.0,59932.0,219919123.69,289869824.0,46.26,44.02,2.23
native,9,2025-03-09T17:26:43.836404,67907668704.0,57143322985.0,12798251251.0,67434678.0,60179.0,29267468139.0,11291301663.0,153796076.0,0.0,60179.0,180387840.0,241156096.0,49.7,47.6,2.08
native,10,2025-03-09T17:27:23.317001,62605995478.0,51170299472.0,12339705634.0,69857988.0,59926.0,26915024695.0,10671940819.0,152642004.0,0.0,59926.0,186813952.0,244977664.0,48.13,45.99,2.14
native,11,2025-03-09T17:28:02.104222,71388301310.0,55806871601.0,13294936919.0,75031994.0,60184.0,28731587578.0,10392970856.0,143531767.0,0.0,60184.0,175428894.72,240959488.0,49.39,47.17,2.2
native,12,2025-03-09T17:28:41.280848,64215677728.0,50712250167.0,12040452665.0,69948353.0,60048.0,26003670155.0,10217324445.0,139967869.0,0.0,60048.0,167969302.26,240541696.0,49.1,46.79,2.27
docker_container,17,2025-03-09T17:29:18.860240,60396340313.0,50085005083.0,10947113306.0,64934309.0,58907.0,25265982975.0,9965701128.0,139589280.0,332.0,58575.0,121533952.0,272826368.0,39.33,37.14,2.19
docker_container_and_daemon,17,2025-03-09T17:29:18.860240,69741439834.56,61927133947.02,13158814018.09,92934048.3,64561.74,27183022770.23,10939119840.92,156231682.86,364.09,64196.66,229844087.07,306176000.0,39.56,37.23,2.33
native,13,2025-03-09T17:30:06.929160,66916411360.0,54280561437.0,12936595383.0,73391377.0,60722.0,27921732291.0,10851436479.0,144069524.0,450.0,60272.0,204835498.67,280113152.0,48.15,45.93,2.19
native,14,2025-03-09T17:30:46.366681,70170077270.0,56877170438.0,13061817455.0,73101690.0,60334.0,29292069314.0,11215854617.0,152064907.0,23.0,60312.0,174262802.96,242139136.0,49.87,47.56,2.42
docker_container,18,2025-03-09T17:31:26.451400,17377894178.0,17199351281.0,4004840421.0,50317481.0,46111.0,9647276000.0,2855628191.0,68068916.0,130.0,45979.0,79675392.0,208580608.0,13.16,12.24,0.92
docker_container_and_daemon,18,2025-03-09T17:31:26.451400,28122462016.47,33925735842.23,6010475777.0,160990032.77,50744.73,13838667669.1,3148522998.67,81285598.47,142.9,50599.83,197579382.15,242737152.0,13.19,12.25,0.94
docker_container,19,2025-03-09T17:32:11.393990,16997831949.0,19415172095.0,3561426542.0,36599717.0,46183.0,8259193140.0,2792214572.0,79730832.0,0.0,46182.0,88385536.0,187092992.0,14.28,13.4,0.88
