model,input,deployment-mechanism,cpu-cycles-mean,cpu-cycles-error-lower,cpu-cycles-error-upper,instructions-mean,instructions-error-lower,instructions-error-upper,cache-misses-mean,cache-misses-error-lower,cache-misses-error-upper,cache-references-mean,cache-references-error-lower,cache-references-error-upper,bus-cycles-mean,bus-cycles-error-lower,bus-cycles-error-upper,page-faults-mean,page-faults-error-lower,page-faults-error-upper,branch-instructions-mean,branch-instructions-error-lower,branch-instructions-error-upper,branch-misses-mean,branch-misses-error-lower,branch-misses-error-upper,major-faults-mean,major-faults-error-lower,major-faults-error-upper,minor-faults-mean,minor-faults-error-lower,minor-faults-error-upper,avg-memory-over-time-in-bytes-mean,avg-memory-over-time-in-bytes-error-lower,avg-memory-over-time-in-bytes-error-upper,max-memory-over-time-in-bytes-mean,max-memory-over-time-in-bytes-error-lower,max-memory-over-time-in-bytes-error-upper,cpu-total-utilization-percentage-mean,cpu-total-utilization-percentage-error-lower,cpu-total-utilization-percentage-error-upper,cpu-user-utilization-percentage-mean,cpu-user-utilization-percentage-error-lower,cpu-user-utilization-percentage-error-upper,cpu-system-utilization-percentage-mean,cpu-system-utilization-percentage-error-lower,cpu-system-utilization-percentage-error-upper,instructions-per-cycle-mean,instructions-per-cycle-error-lower,instructions-per-cycle-error-upper,cycles-per-instruction-mean,cycles-per-instruction-error-lower,cycles-per-instruction-error-upper,wall-time-seconds-mean,wall-time-seconds-error-lower,wall-time-seconds-error-upper
efficientnet_b2.pt,1_SingleObject.jpg,docker,107381558251.13,4041553894.490997,4041553894.490997,137146445027.42598,3911704444.757385,3911704444.75737,90112436.32350002,2558320.445803046,2558320.445803046,25543837923.3485,1082528419.1651802,1082528419.1651802,53790569353.7685,2264421191.383934,2264421191.383934,39716.80699999999,665.0437948951294,665.0437948951294,21978509088.27949,741700981.314373,741700981.314373,221545833.7105,16531681.43594709,16531681.43594709,202.0765,103.6429617328867,103.6429617328867,39502.522,646.2643773540767,646.2643773540767,106518882.1345,12273091.15303953,12273091.15303953,138102169.6,12801897.327717528,12801897.327717513,48.263000000000005,1.6564669632557312,1.6564669632557312,46.039,1.5860386089500906,1.5860386089500906,2.2255000000000003,0.0778483378707441,0.0778483378707441,1.281300385782694,0.0398612125745752,0.0398612125745752,0.7836439187938398,0.0237328633414004,0.0237328633414004,11.360499999999998,0.4317403026570492,0.4317403026570492
efficientnet_b2.pt,1_SingleObject.jpg,native,44846943332.5,1126128890.1014938,1126128890.1014938,52116227212.85,1453648611.6052628,1453648611.6052628,62189067.95,1249179.9058184624,1249179.9058184624,9682215413.9,263089506.23971367,263089506.23971367,22295388810.05,494669932.569664,494669932.569664,39484.1,476.6222332318357,476.6222332318357,8018776451.95,245126799.63798428,245126799.63798428,181779804.4,3918390.110604465,3918390.110604465,17.55,19.85354228588528,19.85354228588528,39466.55,479.2494818092455,479.2494818092455,87948623.7115,5449279.087954342,5449279.087954342,120420352.0,5800296.81228137,5800296.81228137,55.641,0.9311746170041816,0.9311746170041816,53.985,0.9068953851858196,0.9068953851858196,1.6435,0.0791815472908703,0.0791815472908703,1.1620141133950406,0.0119558698775039,0.0119558698775039,0.8609678283484546,0.0088110066599464,0.0088110066599464,10.105000000000002,0.3435382795850845,0.3435382795850845
efficientnet_b3.pt,1_SingleObject.jpg,docker,127098858321.253,9321238536.928787,9321238536.928787,159202791695.60452,13096049891.555117,13096049891.555117,110463416.42849998,6230725.081573606,6230725.081573606,29219659287.63349,2571220836.839035,2571220836.839035,63277269377.501,5019847031.289619,5019847031.289619,43854.31050000001,554.2659134266214,554.2659134266214,25504975529.445,2026486596.1704445,2026486596.1704445,219406859.6705,16079318.238180488,16079318.238180488,305.521,104.9341011499452,104.9341011499452,43541.305,555.7890518326094,555.7890518326094,134852888.0945,13997986.537998438,13997986.537998438,167563264.0,15557754.948218048,15557754.948218048,45.31,3.26821922108536,3.26821922108536,43.305,3.130892294313582,3.130892294313582,2.005,0.142203274032548,0.142203274032548,1.2510226171219745,0.0369735937070903,0.0369735937070903,0.8025674620004322,0.0251877104233398,0.0251877104233398,13.895499999999998,0.4024221382659334,0.4024221382659334
efficientnet_b3.pt,1_SingleObject.jpg,wasm_aot,64187437495.75,1470349906.3795624,1470349906.3795624,77223954461.5,1714398976.393219,1714398976.393219,88945796.35,1229165.7436941415,1229165.7436941415,14459993845.0,381891009.6110287,381891009.6110287,32401902227.35,884139223.3476906,884139223.3476906,66991.3,586.4837291028816,586.4837291028816,12182646924.65,396506274.1034928,396506274.1034928,202306078.35,3652622.732470154,3652622.732470154,114.35,95.58141138090456,95.58141138090456,66876.95,619.9358707484062,619.9358707484062,166018717.203,8691142.773479939,8691142.773479939,200800460.8,9904643.33293885,9904643.33293885,56.36800000000001,0.936460518157304,0.936460518157304,54.52149999999999,0.9247759669200164,0.9247759669200164,1.8145,0.058286611051308,0.058286611051308,1.2034666536283232,0.0128406749546934,0.0128406749546934,0.83133765756744,0.0087504120328669,0.0087504120328669,13.278,0.3302128842042755,0.3302128842042755
efficientnet_b3.pt,1_SingleObject.jpg,native,61419483900.85,1229388449.1727676,1229388449.1727676,74016911564.5,1828688236.576676,1828688236.576676,83395236.15,1176177.8118117154,1176177.8118117154,13692342944.45,284133506.1411133,284133506.1411133,30768508718.2,598499598.8062897,598499598.8062897,42969.45,571.2026644654252,571.2026644654252,11629966859.0,324557423.5680332,324557423.5680332,203605268.45,4602982.047731906,4602982.047731906,41.7,47.70826395659287,47.70826395659286,42927.75,571.0549378348514,571.0549378348514,109596831.2745,7725103.652984679,7725103.652984679,140207308.8,8533720.965280369,8533720.965280354,56.247,0.8433123661694708,0.8433123661694708,55.07550000000001,0.7548987162151235,0.7548987162151235,1.6495000000000002,0.0687414567924102,0.0687414567924102,1.2049779820613442,0.0152209749153842,0.0152209749153842,0.8304677621425807,0.0105369630806689,0.0105369630806689,12.482000000000005,0.2932223733806474,0.2932223733806474
efficientnet_b3.pt,1_SingleObject.jpg,wasm_interpreted,373851116115.85,16131328563.045591,16131328563.045591,334757223023.65,13172444229.30603,13172444229.30603,204763620.0,6540130.496953458,6540130.496953458,197346424660.5,6355353762.518097,6355353762.518097,192559450631.75,6212987462.57663,6212987462.57663,73202.85,1493.534054446034,1493.534054446034,43503997245.5,1714269486.8821106,1714269486.8821106,2141392768.45,87109271.11558509,87109271.11558509,78.8,53.36327832344924,53.36327832344922,73124.0,1465.4141274989088,1465.4141274989088,169986758.76200002,7077014.6102357805,7077014.6102357805,217847398.4,7206527.268896013,7206527.268896013,28.666999999999994,0.1588791094654489,0.1588791094654489,28.461,0.1410261430991148,0.1410261430991148,0.2165,0.0200454109806904,0.0200454109806904,0.9013191673298372,0.0444408141125326,0.0444408141125326,1.1236068950348008,0.0667952261029858,0.0667952261029858,273.3685,0.3278924429391736,0.3278924429391736
efficientnet_b4.pt,1_SingleObject.jpg,native,92920534046.65,1969701292.265869,1969701292.265869,114452883177.3,2648009730.9908752,2648009730.9908752,121401450.15,2256653.4459158927,2256653.4459158927,20917368890.7,408580642.175724,408580642.175724,46355113182.45,830616616.5802231,830616616.5802231,51718.55,1082.7834524951977,1082.7834524951977,18295688146.8,395365403.8724899,395365403.8724899,253092810.75,4139330.212376058,4139330.212376058,63.8,45.60366270772752,45.60366270772751,51654.75,1070.8618533284534,1070.8618533284534,173054664.5035,12057395.273256958,12057395.273256958,203349196.8,14661583.911197543,14661583.911197543,54.96750000000001,2.3919408458065377,2.3919408458065377,53.46750000000001,2.3661137047899032,2.3661137047899032,1.666,0.0656345252742405,0.0656345252742405,1.2316724329340176,0.0103018391410965,0.0103018391410965,0.8121522578908204,0.0068401302505883,0.0068401302505883,16.3835,0.4520724766852595,0.4520724766852595
efficientnet_b4.pt,1_SingleObject.jpg,wasm_aot,94005154570.85,2019528094.5375369,2019528094.5375369,115161774836.7,2628783867.3908844,2628783867.3908844,128366385.75,2329581.219648987,2329581.219648987,21373031506.7,482097287.05205154,482097287.05205154,47579574238.7,1049231911.863388,1049231911.863388,96814.65,968.1199980208476,968.1199980208476,18363562911.4,410038727.0516777,410038727.0516777,252829179.9,4123705.883523673,4123705.883523673,158.3,88.80794125178753,88.80794125178753,96656.3,948.460581876061,948.460581876061,239400025.03900003,11015403.251334518,11015403.251334518,296553472.0,13460647.522331536,13460647.522331536,56.1065,0.7464982671200602,0.7464982671200602,54.2275,0.7402463334790781,0.7402463334790781,1.83,0.0433221120734454,0.0433221120734454,1.2250255340387908,0.0090294216875597,0.0090294216875597,0.8165013715617901,0.0060021971013288,0.0060021971013288,18.1225,0.6571875822792315,0.6571875822792315
efficientnet_b4.pt,1_SingleObject.jpg,docker,185557204954.333,16207999139.312622,16207999139.312622,236331771566.50497,22252762507.31573,22252762507.31573,159977127.486,10477182.421500592,10477182.421500592,44465487131.968,4560088456.530319,4560088456.530319,94777795576.401,8238932657.096512,8238932657.096512,53444.39099999999,940.8328004190262,940.8328004190262,37650403169.67551,3221841294.6294327,3221841294.6294327,335712302.206,30075915.021405995,30075915.021405995,351.207,126.44545592794452,126.44545592794452,53082.924,883.6784157369984,883.6784157369984,181525328.197,17892307.748434722,17892307.748434722,209955020.8,19513477.68927565,19513477.68927565,45.846,3.4358305580611272,3.4358305580611272,43.85000000000001,3.296115764226812,3.296115764226812,1.9980000000000004,0.1409173793027882,0.140917379302788,1.2722341130078416,0.0347344805052975,0.0347344805052975,0.788510953714282,0.0211160100164521,0.0211160100164521,18.457,0.5017542267570896,0.5017542267570896
efficientnet_b4.pt,1_SingleObject.jpg,wasm_interpreted,414854605795.25,13741605925.671265,13741605925.671265,387696322271.2,13266996090.1297,13266996090.1297,251912867.75,8688640.243073046,8688640.243073046,213294287680.45,9339640635.67035,9339640635.67035,209079744367.85,7230064538.733307,7230064538.733307,102993.55,912.2894736983872,912.2894736983872,48696387321.35,2229677019.1943054,2229677019.1943054,2142516909.2,77113423.21897125,77113423.21897101,79.4,33.20226344453322,33.20226344453323,102914.15,905.519778434289,905.519778434289,239398176.50850004,11169517.296101838,11169517.296101838,313734348.8,11748053.187206743,11748053.187206743,30.2005,0.1722373001928048,0.1722373001928048,29.905999999999995,0.1621704484900981,0.1621704484900981,0.304,0.0176687876500326,0.0176687876500326,0.937330008691083,0.0356595419001357,0.0356595419001357,1.0732033842885105,0.0386623250940727,0.0386623250940727,276.946,0.2760863293463558,0.2760863293463558
efficientnet_b5.pt,1_SingleObject.jpg,wasm_aot,133542704654.3,3360503541.3768005,3360503541.3768005,164588757297.65,4608731230.914368,4608731230.914368,184004068.85,2768905.9833336174,2768905.9833336174,30608296216.65,777741240.1618576,777741240.1618576,67136184338.1,1844505834.2093353,1844505834.209343,146788.9,2888.74969894634,2888.74969894634,26280029263.8,837974996.4470787,837974996.4470787,325643224.45,3906280.9748803973,3906280.9748803973,356.6,122.35241959382103,122.35241959382103,146432.25,2805.635292273102,2805.635292273102,357384571.69850004,15589332.476578593,15589332.476578593,463389696.0,18338927.212993205,18338927.212993205,54.337,1.338820977063989,1.338820977063989,52.4455,1.2855069992218446,1.2855069992218446,1.8875,0.06795545770277789,0.06795545770277789,1.232166283840456,0.007153571175236406,0.007153571175236406,0.8116982410640476,0.004745060687451619,0.004745060687451619,25.6135,0.5541497675334632,0.5541497675334632
efficientnet_b5.pt,1_SingleObject.jpg,docker,269077065493.73193,11179206762.420532,11179206762.420532,335523297270.4645,15059273175.752625,15059273175.752625,227457721.40649995,8661328.645858258,8661328.645858258,60594695300.323,3169359905.3743286,3169359905.3743286,131733421251.40598,5874264975.144684,5874264975.144684,70594.8865,1156.6344146909978,1156.6344146909978,53392229185.6985,2322363625.8373337,2322363625.8373337,407601037.73,24812101.756833315,24812101.756833315,478.5065000000001,108.99688264061882,108.99688264061876,70086.126,1111.1212317450409,1111.1212317450409,278059157.6925,18057474.640465558,18057474.640465558,307320422.4,22628826.21776098,22628826.21776098,46.508500000000005,2.285065547913092,2.285065547913092,44.4815,2.1936971534854095,2.1936971534854095,2.0375000000000005,0.09561194853866128,0.09561194853866128,1.2479429453245194,0.033104119031020396,0.033104119031020396,0.8037561493213724,0.02121088969088114,0.02121088969088114,26.3955,0.9892797432479341,0.9892797432479341
efficientnet_b5.pt,1_SingleObject.jpg,wasm_interpreted,433437680458.95,15669657349.312378,15669657349.312378,427071860589.55,14373496762.69873,14373496762.69873,298140096.35,7940295.5046547055,7940295.5046547055,219326572471.7,7235854497.919464,7235854497.919464,232535383546.25,6625504500.709259,6625504500.709259,156386.45,3478.339877785067,3478.339877785067,56090186942.3,2022743039.7768555,2022743039.7768555,2200929238.65,86905332.13592052,86905332.13592052,389.5,127.60162411016097,127.60162411016097,155996.9,3386.300550272892,3386.300550272892,348989366.172,13351352.426967323,13351352.426967323,467547955.2,16853556.977015972,16853556.977015972,31.613500000000005,0.1242086548759076,0.1242086548759076,31.1995,0.1251628292429814,0.1251628292429814,0.41,0.016141230554300667,0.016141230554300667,0.9888931295812752,0.039751425958376885,0.039751425958376996,1.0173677484330232,0.03546610176371412,0.03546610176371412,283.788,0.4302293348047783,0.4302293348047783
efficientnet_b5.pt,1_SingleObject.jpg,native,132074017503.6,3309263750.9537354,3309263750.9537354,164542986660.35,4710710829.312347,4710710829.312347,172931055.35,2645161.9828103483,2645161.9828103483,29960817177.7,745157279.7615204,745157279.7615204,65802467951.1,1557724373.483902,1557724373.483902,67744.35,345.12665214734443,345.12665214734443,26229450090.6,669824851.9773293,669824851.9773293,320139165.65,4782295.185403764,4782295.185403764,154.6,102.2935001065244,102.29350010652442,67589.75,365.359796367964,365.359796367964,254931313.55799994,17885565.287250757,17885565.287250727,271525068.8,19837198.349538863,19837198.349538863,56.246,0.7852524530425171,0.7852524530425171,54.55400000000001,0.7922316142918291,0.7922316142918291,1.75,0.022624235162386208,0.022624235162386208,1.2455224027055496,0.011625602999714824,0.011625602999714824,0.8031750322057105,0.0073899357078600625,0.0073899357078600625,23.9675,0.7067774002835847,0.7067774002835847
