experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,major-faults,minor-faults,avg_memory_over_time,max_memory_over_time,cpu_total_utilization,cpu_user_utilization,cpu_system_utilization
docker_container_and_daemon,8,2025-02-17T14:42:48.279143,124498900328.55,101298321519.1,23009960544.38,123955527.67,23816.14,48962964107.14,19264165251.86,178763389.1,0.0,23815.09,112864685.42,120037376.0,48.01,45.6,2.4
docker_container,9,2025-02-17T14:43:54.559309,67648012720.0,52939866763.0,11921465739.0,54718647.0,21108.0,26680393350.0,11418247642.0,130132312.0,0.0,21107.0,63461148.44,73719808.0,28.87,27.45,1.42
docker_container_and_daemon,9,2025-02-17T14:43:54.559309,72769153113.73,56392714866.64,13018282515.09,58871941.78,22728.71,28411117812.02,12337465184.57,165980863.41,1.08,22726.63,112291972.13,114827264.0,28.95,27.49,1.46
docker_container,10,2025-02-17T14:45:01.089252,115206001772.0,89027505889.0,20305094510.0,82139858.0,23096.0,44998438399.0,19368044615.0,171100664.0,0.0,23095.0,69409240.62,81936384.0,48.54,46.09,2.46
docker_container_and_daemon,10,2025-02-17T14:45:01.089252,120763185049.62,131298290280.76,23383368417.27,137401287.55,24111.14,50788300933.24,20389334577.77,200080689.93,3.12,24105.94,117558190.73,122290176.0,48.72,46.16,2.57
native,10,2025-02-17T14:46:07.102593,115299858966.0,89627777050.0,20141381099.0,78126399.0,23622.0,45694642165.0,18791290453.0,176333514.0,1.0,23621.0,105939829.62,113049600.0,52.31,50.17,2.13
native,11,2025-02-17T14:47:04.572529,105475225629.0,82989550688.0,19283124204.0,77044496.0,20960.0,41809030322.0,17320949091.0,174133494.0,0.0,20960.0,62699975.11,67506176.0,52.99,50.92,2.05
native,12,2025-02-17T14:47:57.350662,112443332124.0,87066741057.0,19634343319.0,80797334.0,23634.0,42974028955.0,18096915071.0,171571331.0,0.0,23634.0,78423257.21,81666048.0,52.75,50.7,2.06
wasm_aot,14,2025-02-17T14:48:51.615896,116985104191.0,88884229174.0,20391125037.0,81635173.0,45731.0,44513693339.0,18888600936.0,181288507.0,22.0,45709.0,115587949.71,119738368.0,54.09,51.81,2.23
docker_container,11,2025-02-17T14:49:47.102689,119720149082.0,94483925532.0,20806043555.0,83384404.0,22856.0,46181515412.0,18763454851.0,171127301.0,0.0,22853.0,91581098.67,108277760.0,49.24,46.75,2.49
